sen, cat, 0, 1, 2
if start is taler than x, if, start, >, x
if start is taler than end, if, start, >, end
if start is taler than size, if, start, >, size
if start is taler than london, if, start, >, london
if start is taler than var4, if, start, >, var4
if start is taler than str, if, start, >, str
if start is taler than v2, if, start, >, v2
if start is taler than i, if, start, >, i
if start is taler than start, if, start, >, start
if start is taler than var, if, start, >, var
if int_5 is taller than 0, if, int_5, >, 0
if int_5 is taller than x, if, int_5, >, x
if int_5 is taller than end, if, int_5, >, end
if int_5 is taller than size, if, int_5, >, size
if int_5 is taller than london, if, int_5, >, london
if int_5 is taller than var4, if, int_5, >, var4
if int_5 is taller than str, if, int_5, >, str
if int_5 is taller than v2, if, int_5, >, v2
if int_5 is taller than i, if, int_5, >, i
if int_5 is taller than start, if, int_5, >, start
if int_5 is taller than var, if, int_5, >, var
if int_5 is higher than 0, if, int_5, >, 0
if int_5 is higher than x, if, int_5, >, x
if int_5 is higher than end, if, int_5, >, end
if int_5 is higher than size, if, int_5, >, size
if int_5 is higher than london, if, int_5, >, london
if int_5 is higher than var4, if, int_5, >, var4
if int_5 is higher than str, if, int_5, >, str
if int_5 is higher than v2, if, int_5, >, v2
if int_5 is higher than i, if, int_5, >, i
if int_5 is higher than start, if, int_5, >, start
if int_5 is higher than var, if, int_5, >, var
if int_5 is greater than 0, if, int_5, >, 0
if int_5 is greater than x, if, int_5, >, x
if int_5 is greater than end, if, int_5, >, end
if int_5 is greater than size, if, int_5, >, size
if int_5 is greater than london, if, int_5, >, london
if int_5 is greater than var4, if, int_5, >, var4
if int_5 is greater than str, if, int_5, >, str
if int_5 is greater than v2, if, int_5, >, v2
if int_5 is greater than i, if, int_5, >, i
if int_5 is greater than start, if, int_5, >, start
if int_5 is greater than var, if, int_5, >, var
if int_5 is older than 0, if, int_5, >, 0
if int_5 is older than x, if, int_5, >, x
if int_5 is older than end, if, int_5, >, end
if int_5 is older than size, if, int_5, >, size
if int_5 is older than london, if, int_5, >, london
if int_5 is older than var4, if, int_5, >, var4
if int_5 is older than str, if, int_5, >, str
if int_5 is older than v2, if, int_5, >, v2
if int_5 is older than i, if, int_5, >, i
if int_5 is older than start, if, int_5, >, start
if int_5 is older than var, if, int_5, >, var
if int_5 is heavier than 0, if, int_5, >, 0
if int_5 is heavier than x, if, int_5, >, x
if int_5 is heavier than end, if, int_5, >, end
if int_5 is heavier than size, if, int_5, >, size
if int_5 is heavier than london, if, int_5, >, london
if int_5 is heavier than var4, if, int_5, >, var4
if int_5 is heavier than str, if, int_5, >, str
if int_5 is heavier than v2, if, int_5, >, v2
if int_5 is heavier than i, if, int_5, >, i
if int_5 is heavier than start, if, int_5, >, start
if int_5 is heavier than var, if, int_5, >, var
if int_5 is bigger than 0, if, int_5, >, 0
if int_5 is bigger than x, if, int_5, >, x
if int_5 is bigger than end, if, int_5, >, end
if int_5 is bigger than size, if, int_5, >, size
if int_5 is bigger than london, if, int_5, >, london
if int_5 is bigger than var4, if, int_5, >, var4
if int_5 is bigger than str, if, int_5, >, str
if int_5 is bigger than v2, if, int_5, >, v2
if int_5 is bigger than i, if, int_5, >, i
if int_5 is bigger than start, if, int_5, >, start
if int_5 is bigger than var, if, int_5, >, var
if int_5 is taler than 0, if, int_5, >, 0
if int_5 is taler than x, if, int_5, >, x
if int_5 is taler than end, if, int_5, >, end
if int_5 is taler than size, if, int_5, >, size
if int_5 is taler than london, if, int_5, >, london
if int_5 is taler than var4, if, int_5, >, var4
if int_5 is taler than str, if, int_5, >, str
if int_5 is taler than v2, if, int_5, >, v2
if int_5 is taler than i, if, int_5, >, i
if int_5 is taler than start, if, int_5, >, start
if int_5 is taler than var, if, int_5, >, var
if i is taller than 0, if, i, >, 0
if i is taller than x, if, i, >, x
if i is taller than end, if, i, >, end
if i is taller than size, if, i, >, size
if i is taller than london, if, i, >, london
if i is taller than var4, if, i, >, var4
if i is taller than str, if, i, >, str
if i is taller than v2, if, i, >, v2
if i is taller than i, if, i, >, i
if i is taller than start, if, i, >, start
if i is taller than var, if, i, >, var
if i is higher than 0, if, i, >, 0
if i is higher than x, if, i, >, x
if i is higher than end, if, i, >, end
if i is higher than size, if, i, >, size
if i is higher than london, if, i, >, london
if i is higher than var4, if, i, >, var4
if i is higher than str, if, i, >, str
if i is higher than v2, if, i, >, v2
if i is higher than i, if, i, >, i
if i is higher than start, if, i, >, start
if i is higher than var, if, i, >, var
if i is greater than 0, if, i, >, 0
if i is greater than x, if, i, >, x
if i is greater than end, if, i, >, end
if i is greater than size, if, i, >, size
if i is greater than london, if, i, >, london
if i is greater than var4, if, i, >, var4
if i is greater than str, if, i, >, str
if i is greater than v2, if, i, >, v2
if i is greater than i, if, i, >, i
if i is greater than start, if, i, >, start
if i is greater than var, if, i, >, var
if i is older than 0, if, i, >, 0
if i is older than x, if, i, >, x
if i is older than end, if, i, >, end
if i is older than size, if, i, >, size
if i is older than london, if, i, >, london
if i is older than var4, if, i, >, var4
if i is older than str, if, i, >, str
if i is older than v2, if, i, >, v2
if i is older than i, if, i, >, i
if i is older than start, if, i, >, start
if i is older than var, if, i, >, var
if i is heavier than 0, if, i, >, 0
if i is heavier than x, if, i, >, x
if i is heavier than end, if, i, >, end
if i is heavier than size, if, i, >, size
if i is heavier than london, if, i, >, london
if i is heavier than var4, if, i, >, var4
if i is heavier than str, if, i, >, str
if i is heavier than v2, if, i, >, v2
if i is heavier than i, if, i, >, i
if i is heavier than start, if, i, >, start
if i is heavier than var, if, i, >, var
if i is bigger than 0, if, i, >, 0
if i is bigger than x, if, i, >, x
if i is bigger than end, if, i, >, end
if i is bigger than size, if, i, >, size
if i is bigger than london, if, i, >, london
if i is bigger than var4, if, i, >, var4
if i is bigger than str, if, i, >, str
if i is bigger than v2, if, i, >, v2
if i is bigger than i, if, i, >, i
if i is bigger than start, if, i, >, start
if i is bigger than var, if, i, >, var
if i is taler than 0, if, i, >, 0
if i is taler than x, if, i, >, x
if i is taler than end, if, i, >, end
if i is taler than size, if, i, >, size
if i is taler than london, if, i, >, london
if i is taler than var4, if, i, >, var4
if i is taler than str, if, i, >, str
if i is taler than v2, if, i, >, v2
if i is taler than i, if, i, >, i
if i is taler than start, if, i, >, start
if i is taler than var, if, i, >, var
if int_5 is taller than 0, if, int_5, >, 0
if int_5 is taller than x, if, int_5, >, x
if int_5 is taller than end, if, int_5, >, end
if int_5 is taller than size, if, int_5, >, size
if int_5 is taller than london, if, int_5, >, london
if int_5 is taller than var4, if, int_5, >, var4
if int_5 is taller than str, if, int_5, >, str
if int_5 is taller than v2, if, int_5, >, v2
if int_5 is taller than i, if, int_5, >, i
if int_5 is taller than start, if, int_5, >, start
if int_5 is taller than var, if, int_5, >, var
if int_5 is higher than 0, if, int_5, >, 0
if int_5 is higher than x, if, int_5, >, x
if int_5 is higher than end, if, int_5, >, end
if int_5 is higher than size, if, int_5, >, size
if int_5 is higher than london, if, int_5, >, london
if int_5 is higher than var4, if, int_5, >, var4
if int_5 is higher than str, if, int_5, >, str
if int_5 is higher than v2, if, int_5, >, v2
if int_5 is higher than i, if, int_5, >, i
if int_5 is higher than start, if, int_5, >, start
if int_5 is higher than var, if, int_5, >, var
if int_5 is greater than 0, if, int_5, >, 0
if int_5 is greater than x, if, int_5, >, x
if int_5 is greater than end, if, int_5, >, end
if int_5 is greater than size, if, int_5, >, size
if int_5 is greater than london, if, int_5, >, london
if int_5 is greater than var4, if, int_5, >, var4
if int_5 is greater than str, if, int_5, >, str
if int_5 is greater than v2, if, int_5, >, v2
if int_5 is greater than i, if, int_5, >, i
if int_5 is greater than start, if, int_5, >, start
if int_5 is greater than var, if, int_5, >, var
if int_5 is older than 0, if, int_5, >, 0
if int_5 is older than x, if, int_5, >, x
if int_5 is older than end, if, int_5, >, end
if int_5 is older than size, if, int_5, >, size
if int_5 is older than london, if, int_5, >, london
if int_5 is older than var4, if, int_5, >, var4
if int_5 is older than str, if, int_5, >, str
if int_5 is older than v2, if, int_5, >, v2
if int_5 is older than i, if, int_5, >, i
if int_5 is older than start, if, int_5, >, start
if int_5 is older than var, if, int_5, >, var
if int_5 is heavier than 0, if, int_5, >, 0
if int_5 is heavier than x, if, int_5, >, x
if int_5 is heavier than end, if, int_5, >, end
if int_5 is heavier than size, if, int_5, >, size
if int_5 is heavier than london, if, int_5, >, london
if int_5 is heavier than var4, if, int_5, >, var4
if int_5 is heavier than str, if, int_5, >, str
if int_5 is heavier than v2, if, int_5, >, v2
if int_5 is heavier than i, if, int_5, >, i
if int_5 is heavier than start, if, int_5, >, start
if int_5 is heavier than var, if, int_5, >, var
if int_5 is bigger than 0, if, int_5, >, 0
if int_5 is bigger than x, if, int_5, >, x
if int_5 is bigger than end, if, int_5, >, end
if int_5 is bigger than size, if, int_5, >, size
if int_5 is bigger than london, if, int_5, >, london
if int_5 is bigger than var4, if, int_5, >, var4
if int_5 is bigger than str, if, int_5, >, str
if int_5 is bigger than v2, if, int_5, >, v2
if int_5 is bigger than i, if, int_5, >, i
if int_5 is bigger than start, if, int_5, >, start
if int_5 is bigger than var, if, int_5, >, var
if int_5 is taler than 0, if, int_5, >, 0
if int_5 is taler than x, if, int_5, >, x
if int_5 is taler than end, if, int_5, >, end
if int_5 is taler than size, if, int_5, >, size
if int_5 is taler than london, if, int_5, >, london
if int_5 is taler than var4, if, int_5, >, var4
if int_5 is taler than str, if, int_5, >, str
if int_5 is taler than v2, if, int_5, >, v2
if int_5 is taler than i, if, int_5, >, i
if int_5 is taler than start, if, int_5, >, start
if int_5 is taler than var, if, int_5, >, var
if x3 is taller than 0, if, x3, >, 0
if x3 is taller than x, if, x3, >, x
if x3 is taller than end, if, x3, >, end
if x3 is taller than size, if, x3, >, size
if x3 is taller than london, if, x3, >, london
if x3 is taller than var4, if, x3, >, var4
if x3 is taller than str, if, x3, >, str
if x3 is taller than v2, if, x3, >, v2
if x3 is taller than i, if, x3, >, i
if x3 is taller than start, if, x3, >, start
if x3 is taller than var, if, x3, >, var
if x3 is higher than 0, if, x3, >, 0
if x3 is higher than x, if, x3, >, x
if x3 is higher than end, if, x3, >, end
if x3 is higher than size, if, x3, >, size
if x3 is higher than london, if, x3, >, london
if x3 is higher than var4, if, x3, >, var4
if x3 is higher than str, if, x3, >, str
if x3 is higher than v2, if, x3, >, v2
if x3 is higher than i, if, x3, >, i
if x3 is higher than start, if, x3, >, start
if x3 is higher than var, if, x3, >, var
if x3 is greater than 0, if, x3, >, 0
if x3 is greater than x, if, x3, >, x
if x3 is greater than end, if, x3, >, end
if x3 is greater than size, if, x3, >, size
if x3 is greater than london, if, x3, >, london
if x3 is greater than var4, if, x3, >, var4
if x3 is greater than str, if, x3, >, str
if x3 is greater than v2, if, x3, >, v2
if x3 is greater than i, if, x3, >, i
if x3 is greater than start, if, x3, >, start
if x3 is greater than var, if, x3, >, var
if x3 is older than 0, if, x3, >, 0
if x3 is older than x, if, x3, >, x
if x3 is older than end, if, x3, >, end
if x3 is older than size, if, x3, >, size
if x3 is older than london, if, x3, >, london
if x3 is older than var4, if, x3, >, var4
if x3 is older than str, if, x3, >, str
if x3 is older than v2, if, x3, >, v2
if x3 is older than i, if, x3, >, i
if x3 is older than start, if, x3, >, start
if x3 is older than var, if, x3, >, var
if x3 is heavier than 0, if, x3, >, 0
if x3 is heavier than x, if, x3, >, x
if x3 is heavier than end, if, x3, >, end
if x3 is heavier than size, if, x3, >, size
if x3 is heavier than london, if, x3, >, london
if x3 is heavier than var4, if, x3, >, var4
if x3 is heavier than str, if, x3, >, str
if x3 is heavier than v2, if, x3, >, v2
if x3 is heavier than i, if, x3, >, i
if x3 is heavier than start, if, x3, >, start
if x3 is heavier than var, if, x3, >, var
if x3 is bigger than 0, if, x3, >, 0
if x3 is bigger than x, if, x3, >, x
if x3 is bigger than end, if, x3, >, end
if x3 is bigger than size, if, x3, >, size
if x3 is bigger than london, if, x3, >, london
if x3 is bigger than var4, if, x3, >, var4
if x3 is bigger than str, if, x3, >, str
if x3 is bigger than v2, if, x3, >, v2
if x3 is bigger than i, if, x3, >, i
if x3 is bigger than start, if, x3, >, start
if x3 is bigger than var, if, x3, >, var
if x3 is taler than 0, if, x3, >, 0
if x3 is taler than x, if, x3, >, x
if x3 is taler than end, if, x3, >, end
if x3 is taler than size, if, x3, >, size
if x3 is taler than london, if, x3, >, london
if x3 is taler than var4, if, x3, >, var4
if x3 is taler than str, if, x3, >, str
if x3 is taler than v2, if, x3, >, v2
if x3 is taler than i, if, x3, >, i
if x3 is taler than start, if, x3, >, start
if x3 is taler than var, if, x3, >, var
if 34 is taller than 0, if, 34, >, 0
if 34 is taller than x, if, 34, >, x
if 34 is taller than end, if, 34, >, end
if 34 is taller than size, if, 34, >, size
if 34 is taller than london, if, 34, >, london
if 34 is taller than var4, if, 34, >, var4
if 34 is taller than str, if, 34, >, str
if 34 is taller than v2, if, 34, >, v2
if 34 is taller than i, if, 34, >, i
if 34 is taller than start, if, 34, >, start
if 34 is taller than var, if, 34, >, var
if 34 is higher than 0, if, 34, >, 0
if 34 is higher than x, if, 34, >, x
if 34 is higher than end, if, 34, >, end
if 34 is higher than size, if, 34, >, size
if 34 is higher than london, if, 34, >, london
if 34 is higher than var4, if, 34, >, var4
if 34 is higher than str, if, 34, >, str
if 34 is higher than v2, if, 34, >, v2
if 34 is higher than i, if, 34, >, i
if 34 is higher than start, if, 34, >, start
if 34 is higher than var, if, 34, >, var
if 34 is greater than 0, if, 34, >, 0
if 34 is greater than x, if, 34, >, x
if 34 is greater than end, if, 34, >, end
if 34 is greater than size, if, 34, >, size
if 34 is greater than london, if, 34, >, london
if 34 is greater than var4, if, 34, >, var4
if 34 is greater than str, if, 34, >, str
if 34 is greater than v2, if, 34, >, v2
if 34 is greater than i, if, 34, >, i
if 34 is greater than start, if, 34, >, start
if 34 is greater than var, if, 34, >, var
if 34 is older than 0, if, 34, >, 0
if 34 is older than x, if, 34, >, x
if 34 is older than end, if, 34, >, end
if 34 is older than size, if, 34, >, size
if 34 is older than london, if, 34, >, london
if 34 is older than var4, if, 34, >, var4
if 34 is older than str, if, 34, >, str
if 34 is older than v2, if, 34, >, v2
if 34 is older than i, if, 34, >, i
if 34 is older than start, if, 34, >, start
if 34 is older than var, if, 34, >, var
if 34 is heavier than 0, if, 34, >, 0
if 34 is heavier than x, if, 34, >, x
if 34 is heavier than end, if, 34, >, end
if 34 is heavier than size, if, 34, >, size
if 34 is heavier than london, if, 34, >, london
if 34 is heavier than var4, if, 34, >, var4
if 34 is heavier than str, if, 34, >, str
if 34 is heavier than v2, if, 34, >, v2
if 34 is heavier than i, if, 34, >, i
if 34 is heavier than start, if, 34, >, start
if 34 is heavier than var, if, 34, >, var
if 34 is bigger than 0, if, 34, >, 0
if 34 is bigger than x, if, 34, >, x
if 34 is bigger than end, if, 34, >, end
if 34 is bigger than size, if, 34, >, size
if 34 is bigger than london, if, 34, >, london
if 34 is bigger than var4, if, 34, >, var4
if 34 is bigger than str, if, 34, >, str
if 34 is bigger than v2, if, 34, >, v2
if 34 is bigger than i, if, 34, >, i
if 34 is bigger than start, if, 34, >, start
if 34 is bigger than var, if, 34, >, var
if 34 is taler than 0, if, 34, >, 0
if 34 is taler than x, if, 34, >, x
if 34 is taler than end, if, 34, >, end
if 34 is taler than size, if, 34, >, size
if 34 is taler than london, if, 34, >, london
if 34 is taler than var4, if, 34, >, var4
if 34 is taler than str, if, 34, >, str
if 34 is taler than v2, if, 34, >, v2
if 34 is taler than i, if, 34, >, i
if 34 is taler than start, if, 34, >, start
if 34 is taler than var, if, 34, >, var
if blue is taller than 0, if, blue, >, 0
if blue is taller than x, if, blue, >, x
if blue is taller than end, if, blue, >, end
if blue is taller than size, if, blue, >, size
if blue is taller than london, if, blue, >, london
if blue is taller than var4, if, blue, >, var4
if blue is taller than str, if, blue, >, str
if blue is taller than v2, if, blue, >, v2
if blue is taller than i, if, blue, >, i
if blue is taller than start, if, blue, >, start
if blue is taller than var, if, blue, >, var
if blue is higher than 0, if, blue, >, 0
if blue is higher than x, if, blue, >, x
if blue is higher than end, if, blue, >, end
if blue is higher than size, if, blue, >, size
if blue is higher than london, if, blue, >, london
if blue is higher than var4, if, blue, >, var4
if blue is higher than str, if, blue, >, str
if blue is higher than v2, if, blue, >, v2
if blue is higher than i, if, blue, >, i
if blue is higher than start, if, blue, >, start
if blue is higher than var, if, blue, >, var
if blue is greater than 0, if, blue, >, 0
if blue is greater than x, if, blue, >, x
if blue is greater than end, if, blue, >, end
if blue is greater than size, if, blue, >, size
if blue is greater than london, if, blue, >, london
if blue is greater than var4, if, blue, >, var4
if blue is greater than str, if, blue, >, str
if blue is greater than v2, if, blue, >, v2
if blue is greater than i, if, blue, >, i
if blue is greater than start, if, blue, >, start
if blue is greater than var, if, blue, >, var
if blue is older than 0, if, blue, >, 0
if blue is older than x, if, blue, >, x
if blue is older than end, if, blue, >, end
if blue is older than size, if, blue, >, size
if blue is older than london, if, blue, >, london
if blue is older than var4, if, blue, >, var4
if blue is older than str, if, blue, >, str
if blue is older than v2, if, blue, >, v2
if blue is older than i, if, blue, >, i
if blue is older than start, if, blue, >, start
if blue is older than var, if, blue, >, var
if blue is heavier than 0, if, blue, >, 0
if blue is heavier than x, if, blue, >, x
if blue is heavier than end, if, blue, >, end
if blue is heavier than size, if, blue, >, size
if blue is heavier than london, if, blue, >, london
if blue is heavier than var4, if, blue, >, var4
if blue is heavier than str, if, blue, >, str
if blue is heavier than v2, if, blue, >, v2
if blue is heavier than i, if, blue, >, i
if blue is heavier than start, if, blue, >, start
if blue is heavier than var, if, blue, >, var
if blue is bigger than 0, if, blue, >, 0
if blue is bigger than x, if, blue, >, x
if blue is bigger than end, if, blue, >, end
if blue is bigger than size, if, blue, >, size
if blue is bigger than london, if, blue, >, london
if blue is bigger than var4, if, blue, >, var4
if blue is bigger than str, if, blue, >, str
if blue is bigger than v2, if, blue, >, v2
if blue is bigger than i, if, blue, >, i
if blue is bigger than start, if, blue, >, start
if blue is bigger than var, if, blue, >, var
if blue is taler than 0, if, blue, >, 0
if blue is taler than x, if, blue, >, x
if blue is taler than end, if, blue, >, end
if blue is taler than size, if, blue, >, size
if blue is taler than london, if, blue, >, london
if blue is taler than var4, if, blue, >, var4
if blue is taler than str, if, blue, >, str
if blue is taler than v2, if, blue, >, v2
if blue is taler than i, if, blue, >, i
if blue is taler than start, if, blue, >, start
if blue is taler than var, if, blue, >, var
if 0 lower than 0, if, 0, <, 0
if 0 lower than x, if, 0, <, x
if 0 lower than end, if, 0, <, end
if 0 lower than size, if, 0, <, size
if 0 lower than london, if, 0, <, london
if 0 lower than var4, if, 0, <, var4
if 0 lower than str, if, 0, <, str
if 0 lower than v2, if, 0, <, v2
if 0 lower than i, if, 0, <, i
if 0 lower than start, if, 0, <, start
if 0 lower than var, if, 0, <, var
if 0 younger than 0, if, 0, <, 0
if 0 younger than x, if, 0, <, x
if 0 younger than end, if, 0, <, end
if 0 younger than size, if, 0, <, size
if 0 younger than london, if, 0, <, london
if 0 younger than var4, if, 0, <, var4
if 0 younger than str, if, 0, <, str
if 0 younger than v2, if, 0, <, v2
if 0 younger than i, if, 0, <, i
if 0 younger than start, if, 0, <, start
if 0 younger than var, if, 0, <, var
if 0 lighter than 0, if, 0, <, 0
if 0 lighter than x, if, 0, <, x
if 0 lighter than end, if, 0, <, end
if 0 lighter than size, if, 0, <, size
if 0 lighter than london, if, 0, <, london
if 0 lighter than var4, if, 0, <, var4
if 0 lighter than str, if, 0, <, str
if 0 lighter than v2, if, 0, <, v2
if 0 lighter than i, if, 0, <, i
if 0 lighter than start, if, 0, <, start
if 0 lighter than var, if, 0, <, var
if 0 less than 0, if, 0, <, 0
if 0 less than x, if, 0, <, x
if 0 less than end, if, 0, <, end
if 0 less than size, if, 0, <, size
if 0 less than london, if, 0, <, london
if 0 less than var4, if, 0, <, var4
if 0 less than str, if, 0, <, str
if 0 less than v2, if, 0, <, v2
if 0 less than i, if, 0, <, i
if 0 less than start, if, 0, <, start
if 0 less than var, if, 0, <, var
if 0 tinier than 0, if, 0, <, 0
if 0 tinier than x, if, 0, <, x
if 0 tinier than end, if, 0, <, end
if 0 tinier than size, if, 0, <, size
if 0 tinier than london, if, 0, <, london
if 0 tinier than var4, if, 0, <, var4
if 0 tinier than str, if, 0, <, str
if 0 tinier than v2, if, 0, <, v2
if 0 tinier than i, if, 0, <, i
if 0 tinier than start, if, 0, <, start
if 0 tinier than var, if, 0, <, var
if 0 smaller than 0, if, 0, <, 0
if 0 smaller than x, if, 0, <, x
if 0 smaller than end, if, 0, <, end
if 0 smaller than size, if, 0, <, size
if 0 smaller than london, if, 0, <, london
if 0 smaller than var4, if, 0, <, var4
if 0 smaller than str, if, 0, <, str
if 0 smaller than v2, if, 0, <, v2
if 0 smaller than i, if, 0, <, i
if 0 smaller than start, if, 0, <, start
if 0 smaller than var, if, 0, <, var
if 0 lower than 0, if, 0, <, 0
if 0 lower than x, if, 0, <, x
if 0 lower than end, if, 0, <, end
if 0 lower than size, if, 0, <, size
if 0 lower than london, if, 0, <, london
if 0 lower than var4, if, 0, <, var4
if 0 lower than str, if, 0, <, str
if 0 lower than v2, if, 0, <, v2
if 0 lower than i, if, 0, <, i
if 0 lower than start, if, 0, <, start
if 0 lower than var, if, 0, <, var
if x lower than 0, if, x, <, 0
if x lower than x, if, x, <, x
if x lower than end, if, x, <, end
if x lower than size, if, x, <, size
if x lower than london, if, x, <, london
if x lower than var4, if, x, <, var4
if x lower than str, if, x, <, str
if x lower than v2, if, x, <, v2
if x lower than i, if, x, <, i
if x lower than start, if, x, <, start
if x lower than var, if, x, <, var
if x younger than 0, if, x, <, 0
if x younger than x, if, x, <, x
if x younger than end, if, x, <, end
if x younger than size, if, x, <, size
if x younger than london, if, x, <, london
if x younger than var4, if, x, <, var4
if x younger than str, if, x, <, str
if x younger than v2, if, x, <, v2
if x younger than i, if, x, <, i
if x younger than start, if, x, <, start
if x younger than var, if, x, <, var
if x lighter than 0, if, x, <, 0
if x lighter than x, if, x, <, x
if x lighter than end, if, x, <, end
if x lighter than size, if, x, <, size
if x lighter than london, if, x, <, london
if x lighter than var4, if, x, <, var4
if x lighter than str, if, x, <, str
if x lighter than v2, if, x, <, v2
if x lighter than i, if, x, <, i
if x lighter than start, if, x, <, start
if x lighter than var, if, x, <, var
if x less than 0, if, x, <, 0
if x less than x, if, x, <, x
if x less than end, if, x, <, end
if x less than size, if, x, <, size
if x less than london, if, x, <, london
if x less than var4, if, x, <, var4
if x less than str, if, x, <, str
if x less than v2, if, x, <, v2
if x less than i, if, x, <, i
if x less than start, if, x, <, start
if x less than var, if, x, <, var
if x tinier than 0, if, x, <, 0
if x tinier than x, if, x, <, x
if x tinier than end, if, x, <, end
if x tinier than size, if, x, <, size
if x tinier than london, if, x, <, london
if x tinier than var4, if, x, <, var4
if x tinier than str, if, x, <, str
if x tinier than v2, if, x, <, v2
if x tinier than i, if, x, <, i
if x tinier than start, if, x, <, start
if x tinier than var, if, x, <, var
if x smaller than 0, if, x, <, 0
if x smaller than x, if, x, <, x
if x smaller than end, if, x, <, end
if x smaller than size, if, x, <, size
if x smaller than london, if, x, <, london
if x smaller than var4, if, x, <, var4
if x smaller than str, if, x, <, str
if x smaller than v2, if, x, <, v2
if x smaller than i, if, x, <, i
if x smaller than start, if, x, <, start
if x smaller than var, if, x, <, var
if x lower than 0, if, x, <, 0
if x lower than x, if, x, <, x
if x lower than end, if, x, <, end
if x lower than size, if, x, <, size
if x lower than london, if, x, <, london
if x lower than var4, if, x, <, var4
if x lower than str, if, x, <, str
if x lower than v2, if, x, <, v2
if x lower than i, if, x, <, i
if x lower than start, if, x, <, start
if x lower than var, if, x, <, var
if banana lower than 0, if, banana, <, 0
if banana lower than x, if, banana, <, x
if banana lower than end, if, banana, <, end
if banana lower than size, if, banana, <, size
if banana lower than london, if, banana, <, london
if banana lower than var4, if, banana, <, var4
if banana lower than str, if, banana, <, str
if banana lower than v2, if, banana, <, v2
if banana lower than i, if, banana, <, i
if banana lower than start, if, banana, <, start
if banana lower than var, if, banana, <, var
if banana younger than 0, if, banana, <, 0
if banana younger than x, if, banana, <, x
if banana younger than end, if, banana, <, end
if banana younger than size, if, banana, <, size
if banana younger than london, if, banana, <, london
if banana younger than var4, if, banana, <, var4
if banana younger than str, if, banana, <, str
if banana younger than v2, if, banana, <, v2
if banana younger than i, if, banana, <, i
if banana younger than start, if, banana, <, start
if banana younger than var, if, banana, <, var
if banana lighter than 0, if, banana, <, 0
if banana lighter than x, if, banana, <, x
if banana lighter than end, if, banana, <, end
if banana lighter than size, if, banana, <, size
if banana lighter than london, if, banana, <, london
if banana lighter than var4, if, banana, <, var4
if banana lighter than str, if, banana, <, str
if banana lighter than v2, if, banana, <, v2
if banana lighter than i, if, banana, <, i
if banana lighter than start, if, banana, <, start
if banana lighter than var, if, banana, <, var
if banana less than 0, if, banana, <, 0
if banana less than x, if, banana, <, x
if banana less than end, if, banana, <, end
if banana less than size, if, banana, <, size
if banana less than london, if, banana, <, london
if banana less than var4, if, banana, <, var4
if banana less than str, if, banana, <, str
if banana less than v2, if, banana, <, v2
if banana less than i, if, banana, <, i
if banana less than start, if, banana, <, start
if banana less than var, if, banana, <, var
if banana tinier than 0, if, banana, <, 0
if banana tinier than x, if, banana, <, x
if banana tinier than end, if, banana, <, end
if banana tinier than size, if, banana, <, size
if banana tinier than london, if, banana, <, london
if banana tinier than var4, if, banana, <, var4
if banana tinier than str, if, banana, <, str
if banana tinier than v2, if, banana, <, v2
if banana tinier than i, if, banana, <, i
if banana tinier than start, if, banana, <, start
if banana tinier than var, if, banana, <, var
if banana smaller than 0, if, banana, <, 0
if banana smaller than x, if, banana, <, x
if banana smaller than end, if, banana, <, end
if banana smaller than size, if, banana, <, size
if banana smaller than london, if, banana, <, london
if banana smaller than var4, if, banana, <, var4
if banana smaller than str, if, banana, <, str
if banana smaller than v2, if, banana, <, v2
if banana smaller than i, if, banana, <, i
if banana smaller than start, if, banana, <, start
if banana smaller than var, if, banana, <, var
if banana lower than 0, if, banana, <, 0
if banana lower than x, if, banana, <, x
if banana lower than end, if, banana, <, end
if banana lower than size, if, banana, <, size
if banana lower than london, if, banana, <, london
if banana lower than var4, if, banana, <, var4
if banana lower than str, if, banana, <, str
if banana lower than v2, if, banana, <, v2
if banana lower than i, if, banana, <, i
if banana lower than start, if, banana, <, start
if banana lower than var, if, banana, <, var
if start lower than 0, if, start, <, 0
if start lower than x, if, start, <, x
if start lower than end, if, start, <, end
if start lower than size, if, start, <, size
if start lower than london, if, start, <, london
if start lower than var4, if, start, <, var4
if start lower than str, if, start, <, str
if start lower than v2, if, start, <, v2
if start lower than i, if, start, <, i
if start lower than start, if, start, <, start
if start lower than var, if, start, <, var
if start younger than 0, if, start, <, 0
if start younger than x, if, start, <, x
if start younger than end, if, start, <, end
if start younger than size, if, start, <, size
if start younger than london, if, start, <, london
if start younger than var4, if, start, <, var4
if start younger than str, if, start, <, str
if start younger than v2, if, start, <, v2
if start younger than i, if, start, <, i
if start younger than start, if, start, <, start
if start younger than var, if, start, <, var
if start lighter than 0, if, start, <, 0
if start lighter than x, if, start, <, x
if start lighter than end, if, start, <, end
if start lighter than size, if, start, <, size
if start lighter than london, if, start, <, london
if start lighter than var4, if, start, <, var4
if start lighter than str, if, start, <, str
if start lighter than v2, if, start, <, v2
if start lighter than i, if, start, <, i
if start lighter than start, if, start, <, start
if start lighter than var, if, start, <, var
if start less than 0, if, start, <, 0
if start less than x, if, start, <, x
if start less than end, if, start, <, end
if start less than size, if, start, <, size
if start less than london, if, start, <, london
if start less than var4, if, start, <, var4
if start less than str, if, start, <, str
if start less than v2, if, start, <, v2
if start less than i, if, start, <, i
if start less than start, if, start, <, start
