sen, cat, 0, 1
schedule london to a, variable, a, london
schedule london to weather_london, variable, weather_london, london
schedule london to int_5, variable, int_5, london
schedule london to str, variable, str, london
schedule london to var, variable, var, london
schedule opera to x, variable, x, opera
schedule opera to wrferer, variable, wrferer, opera
schedule opera to banana, variable, banana, opera
schedule opera to start, variable, start, opera
schedule opera to time, variable, time, opera
schedule opera to num, variable, num, opera
schedule opera to var4, variable, var4, opera
schedule opera to size, variable, size, opera
schedule opera to i, variable, i, opera
schedule opera to j, variable, j, opera
schedule opera to a, variable, a, opera
schedule opera to weather_london, variable, weather_london, opera
schedule opera to int_5, variable, int_5, opera
schedule opera to str, variable, str, opera
schedule opera to var, variable, var, opera
schedule paul to x, variable, x, paul
schedule paul to wrferer, variable, wrferer, paul
schedule paul to banana, variable, banana, paul
schedule paul to start, variable, start, paul
schedule paul to time, variable, time, paul
schedule paul to num, variable, num, paul
schedule paul to var4, variable, var4, paul
schedule paul to size, variable, size, paul
schedule paul to i, variable, i, paul
schedule paul to j, variable, j, paul
schedule paul to a, variable, a, paul
schedule paul to weather_london, variable, weather_london, paul
schedule paul to int_5, variable, int_5, paul
schedule paul to str, variable, str, paul
schedule paul to var, variable, var, paul
schedule fancy to x, variable, x, fancy
schedule fancy to wrferer, variable, wrferer, fancy
schedule fancy to banana, variable, banana, fancy
schedule fancy to start, variable, start, fancy
schedule fancy to time, variable, time, fancy
schedule fancy to num, variable, num, fancy
schedule fancy to var4, variable, var4, fancy
schedule fancy to size, variable, size, fancy
schedule fancy to i, variable, i, fancy
schedule fancy to j, variable, j, fancy
schedule fancy to a, variable, a, fancy
schedule fancy to weather_london, variable, weather_london, fancy
schedule fancy to int_5, variable, int_5, fancy
schedule fancy to str, variable, str, fancy
schedule fancy to var, variable, var, fancy
schedule 9 to x, variable, x, 9
schedule 9 to wrferer, variable, wrferer, 9
schedule 9 to banana, variable, banana, 9
schedule 9 to start, variable, start, 9
schedule 9 to time, variable, time, 9
schedule 9 to num, variable, num, 9
schedule 9 to var4, variable, var4, 9
schedule 9 to size, variable, size, 9
schedule 9 to i, variable, i, 9
schedule 9 to j, variable, j, 9
schedule 9 to a, variable, a, 9
schedule 9 to weather_london, variable, weather_london, 9
schedule 9 to int_5, variable, int_5, 9
schedule 9 to str, variable, str, 9
schedule 9 to var, variable, var, 9
schedule 223 to x, variable, x, 223
schedule 223 to wrferer, variable, wrferer, 223
schedule 223 to banana, variable, banana, 223
schedule 223 to start, variable, start, 223
schedule 223 to time, variable, time, 223
schedule 223 to num, variable, num, 223
schedule 223 to var4, variable, var4, 223
schedule 223 to size, variable, size, 223
schedule 223 to i, variable, i, 223
schedule 223 to j, variable, j, 223
schedule 223 to a, variable, a, 223
schedule 223 to weather_london, variable, weather_london, 223
schedule 223 to int_5, variable, int_5, 223
schedule 223 to str, variable, str, 223
schedule 223 to var, variable, var, 223
direct 0 to x, variable, x, 0
direct 0 to wrferer, variable, wrferer, 0
direct 0 to banana, variable, banana, 0
direct 0 to start, variable, start, 0
direct 0 to time, variable, time, 0
direct 0 to num, variable, num, 0
direct 0 to var4, variable, var4, 0
direct 0 to size, variable, size, 0
direct 0 to i, variable, i, 0
direct 0 to j, variable, j, 0
direct 0 to a, variable, a, 0
direct 0 to weather_london, variable, weather_london, 0
direct 0 to int_5, variable, int_5, 0
direct 0 to str, variable, str, 0
direct 0 to var, variable, var, 0
direct x to x, variable, x, x
direct x to wrferer, variable, wrferer, x
direct x to banana, variable, banana, x
direct x to start, variable, start, x
direct x to time, variable, time, x
direct x to num, variable, num, x
direct x to var4, variable, var4, x
direct x to size, variable, size, x
direct x to i, variable, i, x
direct x to j, variable, j, x
direct x to a, variable, a, x
direct x to weather_london, variable, weather_london, x
direct x to int_5, variable, int_5, x
direct x to str, variable, str, x
direct x to var, variable, var, x
direct wrferer to x, variable, x, wrferer
direct wrferer to wrferer, variable, wrferer, wrferer
direct wrferer to banana, variable, banana, wrferer
direct wrferer to start, variable, start, wrferer
direct wrferer to time, variable, time, wrferer
direct wrferer to num, variable, num, wrferer
direct wrferer to var4, variable, var4, wrferer
direct wrferer to size, variable, size, wrferer
direct wrferer to i, variable, i, wrferer
direct wrferer to j, variable, j, wrferer
direct wrferer to a, variable, a, wrferer
direct wrferer to weather_london, variable, weather_london, wrferer
direct wrferer to int_5, variable, int_5, wrferer
direct wrferer to str, variable, str, wrferer
direct wrferer to var, variable, var, wrferer
direct banana to x, variable, x, banana
direct banana to wrferer, variable, wrferer, banana
direct banana to banana, variable, banana, banana
direct banana to start, variable, start, banana
direct banana to time, variable, time, banana
direct banana to num, variable, num, banana
direct banana to var4, variable, var4, banana
direct banana to size, variable, size, banana
direct banana to i, variable, i, banana
direct banana to j, variable, j, banana
direct banana to a, variable, a, banana
direct banana to weather_london, variable, weather_london, banana
direct banana to int_5, variable, int_5, banana
direct banana to str, variable, str, banana
direct banana to var, variable, var, banana
direct const to x, variable, x, const
direct const to wrferer, variable, wrferer, const
direct const to banana, variable, banana, const
direct const to start, variable, start, const
direct const to time, variable, time, const
direct const to num, variable, num, const
direct const to var4, variable, var4, const
direct const to size, variable, size, const
direct const to i, variable, i, const
direct const to j, variable, j, const
direct const to a, variable, a, const
direct const to weather_london, variable, weather_london, const
direct const to int_5, variable, int_5, const
direct const to str, variable, str, const
direct const to var, variable, var, const
direct start to x, variable, x, start
direct start to wrferer, variable, wrferer, start
direct start to banana, variable, banana, start
direct start to start, variable, start, start
direct start to time, variable, time, start
direct start to num, variable, num, start
direct start to var4, variable, var4, start
direct start to size, variable, size, start
direct start to i, variable, i, start
direct start to j, variable, j, start
direct start to a, variable, a, start
direct start to weather_london, variable, weather_london, start
direct start to int_5, variable, int_5, start
direct start to str, variable, str, start
direct start to var, variable, var, start
direct end to x, variable, x, end
direct end to wrferer, variable, wrferer, end
direct end to banana, variable, banana, end
direct end to start, variable, start, end
direct end to time, variable, time, end
direct end to num, variable, num, end
direct end to var4, variable, var4, end
direct end to size, variable, size, end
direct end to i, variable, i, end
direct end to j, variable, j, end
direct end to a, variable, a, end
direct end to weather_london, variable, weather_london, end
direct end to int_5, variable, int_5, end
direct end to str, variable, str, end
direct end to var, variable, var, end
direct time to x, variable, x, time
direct time to wrferer, variable, wrferer, time
direct time to banana, variable, banana, time
direct time to start, variable, start, time
direct time to time, variable, time, time
direct time to num, variable, num, time
direct time to var4, variable, var4, time
direct time to size, variable, size, time
direct time to i, variable, i, time
direct time to j, variable, j, time
direct time to a, variable, a, time
direct time to weather_london, variable, weather_london, time
direct time to int_5, variable, int_5, time
direct time to str, variable, str, time
direct time to var, variable, var, time
direct size to x, variable, x, size
direct size to wrferer, variable, wrferer, size
direct size to banana, variable, banana, size
direct size to start, variable, start, size
direct size to time, variable, time, size
direct size to num, variable, num, size
direct size to var4, variable, var4, size
direct size to size, variable, size, size
direct size to i, variable, i, size
direct size to j, variable, j, size
direct size to a, variable, a, size
direct size to weather_london, variable, weather_london, size
direct size to int_5, variable, int_5, size
direct size to str, variable, str, size
direct size to var, variable, var, size
direct a to x, variable, x, a
direct a to wrferer, variable, wrferer, a
direct a to banana, variable, banana, a
direct a to start, variable, start, a
direct a to time, variable, time, a
direct a to num, variable, num, a
direct a to var4, variable, var4, a
direct a to size, variable, size, a
direct a to i, variable, i, a
direct a to j, variable, j, a
direct a to a, variable, a, a
direct a to weather_london, variable, weather_london, a
direct a to int_5, variable, int_5, a
direct a to str, variable, str, a
direct a to var, variable, var, a
direct 4 to x, variable, x, 4
direct 4 to wrferer, variable, wrferer, 4
direct 4 to banana, variable, banana, 4
direct 4 to start, variable, start, 4
direct 4 to time, variable, time, 4
direct 4 to num, variable, num, 4
direct 4 to var4, variable, var4, 4
direct 4 to size, variable, size, 4
direct 4 to i, variable, i, 4
direct 4 to j, variable, j, 4
direct 4 to a, variable, a, 4
direct 4 to weather_london, variable, weather_london, 4
direct 4 to int_5, variable, int_5, 4
direct 4 to str, variable, str, 4
direct 4 to var, variable, var, 4
direct 5 to x, variable, x, 5
direct 5 to wrferer, variable, wrferer, 5
direct 5 to banana, variable, banana, 5
direct 5 to start, variable, start, 5
direct 5 to time, variable, time, 5
direct 5 to num, variable, num, 5
direct 5 to var4, variable, var4, 5
direct 5 to size, variable, size, 5
direct 5 to i, variable, i, 5
direct 5 to j, variable, j, 5
direct 5 to a, variable, a, 5
direct 5 to weather_london, variable, weather_london, 5
direct 5 to int_5, variable, int_5, 5
direct 5 to str, variable, str, 5
direct 5 to var, variable, var, 5
direct 10 to x, variable, x, 10
direct 10 to wrferer, variable, wrferer, 10
direct 10 to banana, variable, banana, 10
direct 10 to start, variable, start, 10
direct 10 to time, variable, time, 10
direct 10 to num, variable, num, 10
direct 10 to var4, variable, var4, 10
direct 10 to size, variable, size, 10
direct 10 to i, variable, i, 10
direct 10 to j, variable, j, 10
direct 10 to a, variable, a, 10
direct 10 to weather_london, variable, weather_london, 10
direct 10 to int_5, variable, int_5, 10
direct 10 to str, variable, str, 10
direct 10 to var, variable, var, 10
direct 234234 to x, variable, x, 234234
direct 234234 to wrferer, variable, wrferer, 234234
direct 234234 to banana, variable, banana, 234234
direct 234234 to start, variable, start, 234234
direct 234234 to time, variable, time, 234234
direct 234234 to num, variable, num, 234234
direct 234234 to var4, variable, var4, 234234
direct 234234 to size, variable, size, 234234
direct 234234 to i, variable, i, 234234
direct 234234 to j, variable, j, 234234
direct 234234 to a, variable, a, 234234
direct 234234 to weather_london, variable, weather_london, 234234
direct 234234 to int_5, variable, int_5, 234234
direct 234234 to str, variable, str, 234234
direct 234234 to var, variable, var, 234234
direct 343423424 to x, variable, x, 343423424
direct 343423424 to wrferer, variable, wrferer, 343423424
direct 343423424 to banana, variable, banana, 343423424
direct 343423424 to start, variable, start, 343423424
direct 343423424 to time, variable, time, 343423424
direct 343423424 to num, variable, num, 343423424
direct 343423424 to var4, variable, var4, 343423424
direct 343423424 to size, variable, size, 343423424
direct 343423424 to i, variable, i, 343423424
direct 343423424 to j, variable, j, 343423424
direct 343423424 to a, variable, a, 343423424
direct 343423424 to weather_london, variable, weather_london, 343423424
direct 343423424 to int_5, variable, int_5, 343423424
direct 343423424 to str, variable, str, 343423424
direct 343423424 to var, variable, var, 343423424
direct london to x, variable, x, london
direct london to wrferer, variable, wrferer, london
direct london to banana, variable, banana, london
direct london to start, variable, start, london
direct london to time, variable, time, london
direct london to num, variable, num, london
direct london to var4, variable, var4, london
direct london to size, variable, size, london
direct london to i, variable, i, london
direct london to j, variable, j, london
direct london to a, variable, a, london
direct london to weather_london, variable, weather_london, london
direct london to int_5, variable, int_5, london
direct london to str, variable, str, london
direct london to var, variable, var, london
direct opera to x, variable, x, opera
direct opera to wrferer, variable, wrferer, opera
direct opera to banana, variable, banana, opera
direct opera to start, variable, start, opera
direct opera to time, variable, time, opera
direct opera to num, variable, num, opera
direct opera to var4, variable, var4, opera
direct opera to size, variable, size, opera
direct opera to i, variable, i, opera
direct opera to j, variable, j, opera
direct opera to a, variable, a, opera
direct opera to weather_london, variable, weather_london, opera
direct opera to int_5, variable, int_5, opera
direct opera to str, variable, str, opera
direct opera to var, variable, var, opera
direct paul to x, variable, x, paul
direct paul to wrferer, variable, wrferer, paul
direct paul to banana, variable, banana, paul
direct paul to start, variable, start, paul
direct paul to time, variable, time, paul
direct paul to num, variable, num, paul
direct paul to var4, variable, var4, paul
direct paul to size, variable, size, paul
direct paul to i, variable, i, paul
direct paul to j, variable, j, paul
direct paul to a, variable, a, paul
direct paul to weather_london, variable, weather_london, paul
direct paul to int_5, variable, int_5, paul
direct paul to str, variable, str, paul
direct paul to var, variable, var, paul
direct fancy to x, variable, x, fancy
direct fancy to wrferer, variable, wrferer, fancy
direct fancy to banana, variable, banana, fancy
direct fancy to start, variable, start, fancy
direct fancy to time, variable, time, fancy
direct fancy to num, variable, num, fancy
direct fancy to var4, variable, var4, fancy
direct fancy to size, variable, size, fancy
direct fancy to i, variable, i, fancy
direct fancy to j, variable, j, fancy
direct fancy to a, variable, a, fancy
direct fancy to weather_london, variable, weather_london, fancy
direct fancy to int_5, variable, int_5, fancy
direct fancy to str, variable, str, fancy
direct fancy to var, variable, var, fancy
direct 9 to x, variable, x, 9
direct 9 to wrferer, variable, wrferer, 9
direct 9 to banana, variable, banana, 9
direct 9 to start, variable, start, 9
direct 9 to time, variable, time, 9
direct 9 to num, variable, num, 9
direct 9 to var4, variable, var4, 9
direct 9 to size, variable, size, 9
direct 9 to i, variable, i, 9
direct 9 to j, variable, j, 9
direct 9 to a, variable, a, 9
direct 9 to weather_london, variable, weather_london, 9
direct 9 to int_5, variable, int_5, 9
direct 9 to str, variable, str, 9
direct 9 to var, variable, var, 9
direct 223 to x, variable, x, 223
direct 223 to wrferer, variable, wrferer, 223
direct 223 to banana, variable, banana, 223
direct 223 to start, variable, start, 223
direct 223 to time, variable, time, 223
direct 223 to num, variable, num, 223
direct 223 to var4, variable, var4, 223
direct 223 to size, variable, size, 223
direct 223 to i, variable, i, 223
direct 223 to j, variable, j, 223
direct 223 to a, variable, a, 223
direct 223 to weather_london, variable, weather_london, 223
direct 223 to int_5, variable, int_5, 223
direct 223 to str, variable, str, 223
direct 223 to var, variable, var, 223
orientate 0 to x, variable, x, 0
orientate 0 to wrferer, variable, wrferer, 0
orientate 0 to banana, variable, banana, 0
orientate 0 to start, variable, start, 0
orientate 0 to time, variable, time, 0
orientate 0 to num, variable, num, 0
orientate 0 to var4, variable, var4, 0
orientate 0 to size, variable, size, 0
orientate 0 to i, variable, i, 0
orientate 0 to j, variable, j, 0
orientate 0 to a, variable, a, 0
orientate 0 to weather_london, variable, weather_london, 0
orientate 0 to int_5, variable, int_5, 0
orientate 0 to str, variable, str, 0
orientate 0 to var, variable, var, 0
orientate x to x, variable, x, x
orientate x to wrferer, variable, wrferer, x
orientate x to banana, variable, banana, x
orientate x to start, variable, start, x
orientate x to time, variable, time, x
orientate x to num, variable, num, x
orientate x to var4, variable, var4, x
orientate x to size, variable, size, x
orientate x to i, variable, i, x
orientate x to j, variable, j, x
orientate x to a, variable, a, x
orientate x to weather_london, variable, weather_london, x
orientate x to int_5, variable, int_5, x
orientate x to str, variable, str, x
orientate x to var, variable, var, x
orientate wrferer to x, variable, x, wrferer
orientate wrferer to wrferer, variable, wrferer, wrferer
orientate wrferer to banana, variable, banana, wrferer
orientate wrferer to start, variable, start, wrferer
orientate wrferer to time, variable, time, wrferer
orientate wrferer to num, variable, num, wrferer
orientate wrferer to var4, variable, var4, wrferer
orientate wrferer to size, variable, size, wrferer
orientate wrferer to i, variable, i, wrferer
orientate wrferer to j, variable, j, wrferer
orientate wrferer to a, variable, a, wrferer
orientate wrferer to weather_london, variable, weather_london, wrferer
orientate wrferer to int_5, variable, int_5, wrferer
orientate wrferer to str, variable, str, wrferer
orientate wrferer to var, variable, var, wrferer
orientate banana to x, variable, x, banana
orientate banana to wrferer, variable, wrferer, banana
orientate banana to banana, variable, banana, banana
orientate banana to start, variable, start, banana
orientate banana to time, variable, time, banana
orientate banana to num, variable, num, banana
orientate banana to var4, variable, var4, banana
orientate banana to size, variable, size, banana
orientate banana to i, variable, i, banana
orientate banana to j, variable, j, banana
orientate banana to a, variable, a, banana
orientate banana to weather_london, variable, weather_london, banana
orientate banana to int_5, variable, int_5, banana
orientate banana to str, variable, str, banana
orientate banana to var, variable, var, banana
orientate const to x, variable, x, const
orientate const to wrferer, variable, wrferer, const
orientate const to banana, variable, banana, const
orientate const to start, variable, start, const
orientate const to time, variable, time, const
orientate const to num, variable, num, const
orientate const to var4, variable, var4, const
orientate const to size, variable, size, const
orientate const to i, variable, i, const
orientate const to j, variable, j, const
orientate const to a, variable, a, const
orientate const to weather_london, variable, weather_london, const
orientate const to int_5, variable, int_5, const
orientate const to str, variable, str, const
orientate const to var, variable, var, const
orientate start to x, variable, x, start
orientate start to wrferer, variable, wrferer, start
orientate start to banana, variable, banana, start
orientate start to start, variable, start, start
orientate start to time, variable, time, start
orientate start to num, variable, num, start
orientate start to var4, variable, var4, start
orientate start to size, variable, size, start
orientate start to i, variable, i, start
orientate start to j, variable, j, start
orientate start to a, variable, a, start
orientate start to weather_london, variable, weather_london, start
orientate start to int_5, variable, int_5, start
orientate start to str, variable, str, start
orientate start to var, variable, var, start
orientate end to x, variable, x, end
orientate end to wrferer, variable, wrferer, end
orientate end to banana, variable, banana, end
orientate end to start, variable, start, end
orientate end to time, variable, time, end
orientate end to num, variable, num, end
orientate end to var4, variable, var4, end
orientate end to size, variable, size, end
orientate end to i, variable, i, end
orientate end to j, variable, j, end
orientate end to a, variable, a, end
orientate end to weather_london, variable, weather_london, end
orientate end to int_5, variable, int_5, end
orientate end to str, variable, str, end
orientate end to var, variable, var, end
orientate time to x, variable, x, time
orientate time to wrferer, variable, wrferer, time
orientate time to banana, variable, banana, time
orientate time to start, variable, start, time
orientate time to time, variable, time, time
orientate time to num, variable, num, time
orientate time to var4, variable, var4, time
orientate time to size, variable, size, time
orientate time to i, variable, i, time
orientate time to j, variable, j, time
orientate time to a, variable, a, time
orientate time to weather_london, variable, weather_london, time
orientate time to int_5, variable, int_5, time
orientate time to str, variable, str, time
orientate time to var, variable, var, time
orientate size to x, variable, x, size
orientate size to wrferer, variable, wrferer, size
orientate size to banana, variable, banana, size
orientate size to start, variable, start, size
orientate size to time, variable, time, size
orientate size to num, variable, num, size
orientate size to var4, variable, var4, size
orientate size to size, variable, size, size
orientate size to i, variable, i, size
orientate size to j, variable, j, size
orientate size to a, variable, a, size
orientate size to weather_london, variable, weather_london, size
orientate size to int_5, variable, int_5, size
orientate size to str, variable, str, size
orientate size to var, variable, var, size
orientate a to x, variable, x, a
orientate a to wrferer, variable, wrferer, a
orientate a to banana, variable, banana, a
orientate a to start, variable, start, a
orientate a to time, variable, time, a
orientate a to num, variable, num, a
orientate a to var4, variable, var4, a
orientate a to size, variable, size, a
orientate a to i, variable, i, a
orientate a to j, variable, j, a
orientate a to a, variable, a, a
orientate a to weather_london, variable, weather_london, a
orientate a to int_5, variable, int_5, a
orientate a to str, variable, str, a
orientate a to var, variable, var, a
orientate 4 to x, variable, x, 4
orientate 4 to wrferer, variable, wrferer, 4
orientate 4 to banana, variable, banana, 4
orientate 4 to start, variable, start, 4
orientate 4 to time, variable, time, 4
orientate 4 to num, variable, num, 4
orientate 4 to var4, variable, var4, 4
orientate 4 to size, variable, size, 4
orientate 4 to i, variable, i, 4
orientate 4 to j, variable, j, 4
orientate 4 to a, variable, a, 4
orientate 4 to weather_london, variable, weather_london, 4
orientate 4 to int_5, variable, int_5, 4
orientate 4 to str, variable, str, 4
orientate 4 to var, variable, var, 4
orientate 5 to x, variable, x, 5
orientate 5 to wrferer, variable, wrferer, 5
orientate 5 to banana, variable, banana, 5
orientate 5 to start, variable, start, 5
orientate 5 to time, variable, time, 5
orientate 5 to num, variable, num, 5
orientate 5 to var4, variable, var4, 5
orientate 5 to size, variable, size, 5
orientate 5 to i, variable, i, 5
orientate 5 to j, variable, j, 5
orientate 5 to a, variable, a, 5
orientate 5 to weather_london, variable, weather_london, 5
orientate 5 to int_5, variable, int_5, 5
orientate 5 to str, variable, str, 5
orientate 5 to var, variable, var, 5
orientate 10 to x, variable, x, 10
orientate 10 to wrferer, variable, wrferer, 10
orientate 10 to banana, variable, banana, 10
orientate 10 to start, variable, start, 10
orientate 10 to time, variable, time, 10
orientate 10 to num, variable, num, 10
orientate 10 to var4, variable, var4, 10
orientate 10 to size, variable, size, 10
orientate 10 to i, variable, i, 10
orientate 10 to j, variable, j, 10
orientate 10 to a, variable, a, 10
orientate 10 to weather_london, variable, weather_london, 10
orientate 10 to int_5, variable, int_5, 10
orientate 10 to str, variable, str, 10
orientate 10 to var, variable, var, 10
orientate 234234 to x, variable, x, 234234
orientate 234234 to wrferer, variable, wrferer, 234234
orientate 234234 to banana, variable, banana, 234234
orientate 234234 to start, variable, start, 234234
orientate 234234 to time, variable, time, 234234
orientate 234234 to num, variable, num, 234234
orientate 234234 to var4, variable, var4, 234234
orientate 234234 to size, variable, size, 234234
orientate 234234 to i, variable, i, 234234
orientate 234234 to j, variable, j, 234234
orientate 234234 to a, variable, a, 234234
orientate 234234 to weather_london, variable, weather_london, 234234
orientate 234234 to int_5, variable, int_5, 234234
orientate 234234 to str, variable, str, 234234
orientate 234234 to var, variable, var, 234234
orientate 343423424 to x, variable, x, 343423424
orientate 343423424 to wrferer, variable, wrferer, 343423424
orientate 343423424 to banana, variable, banana, 343423424
orientate 343423424 to start, variable, start, 343423424
orientate 343423424 to time, variable, time, 343423424
orientate 343423424 to num, variable, num, 343423424
orientate 343423424 to var4, variable, var4, 343423424
orientate 343423424 to size, variable, size, 343423424
orientate 343423424 to i, variable, i, 343423424
orientate 343423424 to j, variable, j, 343423424
orientate 343423424 to a, variable, a, 343423424
orientate 343423424 to weather_london, variable, weather_london, 343423424
orientate 343423424 to int_5, variable, int_5, 343423424
orientate 343423424 to str, variable, str, 343423424
orientate 343423424 to var, variable, var, 343423424
orientate london to x, variable, x, london
orientate london to wrferer, variable, wrferer, london
orientate london to banana, variable, banana, london
orientate london to start, variable, start, london
orientate london to time, variable, time, london
orientate london to num, variable, num, london
orientate london to var4, variable, var4, london
orientate london to size, variable, size, london
orientate london to i, variable, i, london
orientate london to j, variable, j, london
orientate london to a, variable, a, london
orientate london to weather_london, variable, weather_london, london
orientate london to int_5, variable, int_5, london
orientate london to str, variable, str, london
orientate london to var, variable, var, london
orientate opera to x, variable, x, opera
orientate opera to wrferer, variable, wrferer, opera
orientate opera to banana, variable, banana, opera
orientate opera to start, variable, start, opera
orientate opera to time, variable, time, opera
orientate opera to num, variable, num, opera
orientate opera to var4, variable, var4, opera
orientate opera to size, variable, size, opera
orientate opera to i, variable, i, opera
orientate opera to j, variable, j, opera
orientate opera to a, variable, a, opera
orientate opera to weather_london, variable, weather_london, opera
orientate opera to int_5, variable, int_5, opera
orientate opera to str, variable, str, opera
orientate opera to var, variable, var, opera
orientate paul to x, variable, x, paul
orientate paul to wrferer, variable, wrferer, paul
orientate paul to banana, variable, banana, paul
orientate paul to start, variable, start, paul
orientate paul to time, variable, time, paul
orientate paul to num, variable, num, paul
orientate paul to var4, variable, var4, paul
orientate paul to size, variable, size, paul
orientate paul to i, variable, i, paul
orientate paul to j, variable, j, paul
orientate paul to a, variable, a, paul
orientate paul to weather_london, variable, weather_london, paul
orientate paul to int_5, variable, int_5, paul
orientate paul to str, variable, str, paul
orientate paul to var, variable, var, paul
orientate fancy to x, variable, x, fancy
orientate fancy to wrferer, variable, wrferer, fancy
orientate fancy to banana, variable, banana, fancy
orientate fancy to start, variable, start, fancy
orientate fancy to time, variable, time, fancy
orientate fancy to num, variable, num, fancy
orientate fancy to var4, variable, var4, fancy
orientate fancy to size, variable, size, fancy
orientate fancy to i, variable, i, fancy
orientate fancy to j, variable, j, fancy
orientate fancy to a, variable, a, fancy
orientate fancy to weather_london, variable, weather_london, fancy
orientate fancy to int_5, variable, int_5, fancy
orientate fancy to str, variable, str, fancy
orientate fancy to var, variable, var, fancy
orientate 9 to x, variable, x, 9
orientate 9 to wrferer, variable, wrferer, 9
orientate 9 to banana, variable, banana, 9
orientate 9 to start, variable, start, 9
orientate 9 to time, variable, time, 9
orientate 9 to num, variable, num, 9
orientate 9 to var4, variable, var4, 9
orientate 9 to size, variable, size, 9
orientate 9 to i, variable, i, 9
orientate 9 to j, variable, j, 9
orientate 9 to a, variable, a, 9
orientate 9 to weather_london, variable, weather_london, 9
orientate 9 to int_5, variable, int_5, 9
orientate 9 to str, variable, str, 9
orientate 9 to var, variable, var, 9
orientate 223 to x, variable, x, 223
orientate 223 to wrferer, variable, wrferer, 223
orientate 223 to banana, variable, banana, 223
orientate 223 to start, variable, start, 223
orientate 223 to time, variable, time, 223
orientate 223 to num, variable, num, 223
orientate 223 to var4, variable, var4, 223
orientate 223 to size, variable, size, 223
orientate 223 to i, variable, i, 223
orientate 223 to j, variable, j, 223
orientate 223 to a, variable, a, 223
orientate 223 to weather_london, variable, weather_london, 223
orientate 223 to int_5, variable, int_5, 223
orientate 223 to str, variable, str, 223
orientate 223 to var, variable, var, 223
realize 0 to x, variable, x, 0
realize 0 to wrferer, variable, wrferer, 0
realize 0 to banana, variable, banana, 0
realize 0 to start, variable, start, 0
realize 0 to time, variable, time, 0
realize 0 to num, variable, num, 0
realize 0 to var4, variable, var4, 0
realize 0 to size, variable, size, 0
realize 0 to i, variable, i, 0
realize 0 to j, variable, j, 0
realize 0 to a, variable, a, 0
realize 0 to weather_london, variable, weather_london, 0
realize 0 to int_5, variable, int_5, 0
realize 0 to str, variable, str, 0
realize 0 to var, variable, var, 0
realize x to x, variable, x, x
realize x to wrferer, variable, wrferer, x
realize x to banana, variable, banana, x
realize x to start, variable, start, x
realize x to time, variable, time, x
realize x to num, variable, num, x
realize x to var4, variable, var4, x
realize x to size, variable, size, x
realize x to i, variable, i, x
realize x to j, variable, j, x
realize x to a, variable, a, x
realize x to weather_london, variable, weather_london, x
realize x to int_5, variable, int_5, x
realize x to str, variable, str, x
realize x to var, variable, var, x
realize wrferer to x, variable, x, wrferer
realize wrferer to wrferer, variable, wrferer, wrferer
realize wrferer to banana, variable, banana, wrferer
realize wrferer to start, variable, start, wrferer
realize wrferer to time, variable, time, wrferer
realize wrferer to num, variable, num, wrferer
realize wrferer to var4, variable, var4, wrferer
realize wrferer to size, variable, size, wrferer
realize wrferer to i, variable, i, wrferer
realize wrferer to j, variable, j, wrferer
realize wrferer to a, variable, a, wrferer
realize wrferer to weather_london, variable, weather_london, wrferer
realize wrferer to int_5, variable, int_5, wrferer
realize wrferer to str, variable, str, wrferer
realize wrferer to var, variable, var, wrferer
realize banana to x, variable, x, banana
realize banana to wrferer, variable, wrferer, banana
realize banana to banana, variable, banana, banana
realize banana to start, variable, start, banana
realize banana to time, variable, time, banana
realize banana to num, variable, num, banana
realize banana to var4, variable, var4, banana
realize banana to size, variable, size, banana
realize banana to i, variable, i, banana
realize banana to j, variable, j, banana
realize banana to a, variable, a, banana
realize banana to weather_london, variable, weather_london, banana
realize banana to int_5, variable, int_5, banana
realize banana to str, variable, str, banana
realize banana to var, variable, var, banana
realize const to x, variable, x, const
realize const to wrferer, variable, wrferer, const
realize const to banana, variable, banana, const
realize const to start, variable, start, const
realize const to time, variable, time, const
realize const to num, variable, num, const
realize const to var4, variable, var4, const
realize const to size, variable, size, const
realize const to i, variable, i, const
realize const to j, variable, j, const
realize const to a, variable, a, const
realize const to weather_london, variable, weather_london, const
realize const to int_5, variable, int_5, const
realize const to str, variable, str, const
realize const to var, variable, var, const
realize start to x, variable, x, start
realize start to wrferer, variable, wrferer, start
realize start to banana, variable, banana, start
realize start to start, variable, start, start
realize start to time, variable, time, start
realize start to num, variable, num, start
realize start to var4, variable, var4, start
realize start to size, variable, size, start
realize start to i, variable, i, start
realize start to j, variable, j, start
realize start to a, variable, a, start
realize start to weather_london, variable, weather_london, start
realize start to int_5, variable, int_5, start
realize start to str, variable, str, start
realize start to var, variable, var, start
realize end to x, variable, x, end
realize end to wrferer, variable, wrferer, end
realize end to banana, variable, banana, end
realize end to start, variable, start, end
realize end to time, variable, time, end
realize end to num, variable, num, end
realize end to var4, variable, var4, end
realize end to size, variable, size, end
realize end to i, variable, i, end
realize end to j, variable, j, end
realize end to a, variable, a, end
realize end to weather_london, variable, weather_london, end
realize end to int_5, variable, int_5, end
realize end to str, variable, str, end
realize end to var, variable, var, end
realize time to x, variable, x, time
realize time to wrferer, variable, wrferer, time
realize time to banana, variable, banana, time
realize time to start, variable, start, time
realize time to time, variable, time, time
realize time to num, variable, num, time
realize time to var4, variable, var4, time
realize time to size, variable, size, time
realize time to i, variable, i, time
realize time to j, variable, j, time
realize time to a, variable, a, time
